epochs,train_loss,train_cost,val_cost
0,-0.620467,13.43504,12.276605
1,5.5449796,11.887043,11.522219
2,-0.7342786,11.518751,11.370555
3,-0.82623976,11.394672,11.277437
4,-0.89869344,11.322388,11.337213
5,-0.26957887,11.262692,11.165051
6,-1.0158527,11.233902,11.21269
7,-0.69387865,11.2036,11.16362
8,-0.44746244,11.175334,11.113235
9,-0.6964817,11.158622,11.129681
10,-0.5745869,11.143708,11.114947
11,-0.40237233,11.127039,11.071666
12,-0.64701223,11.116139,11.074582
