epochs,train_loss,train_cost,val_cost
0,-2.787948,11.028039,15.979279
1,137.26701,11.460027,16.41182
2,136.78387,11.563259,16.069954
3,130.26732,12.333959,17.817907
4,125.37716,13.250852,20.849045
